#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
makeLocusGraph_chromId_001_2_0002		complete	0	2016-09-30T17:37:45.210817
makeLocusGraph_chromId_001_2_0003		complete	0	2016-09-30T17:37:45.173865
makeLocusGraph_chromId_001_2_0004		complete	0	2016-09-30T17:37:34.438326
makeLocusGraph_chromId_001_2_0005		complete	0	2016-09-30T17:37:35.930571
makeLocusGraph_chromId_001_2_0006		complete	0	2016-09-30T17:37:47.094414
makeLocusGraph_chromId_001_2_0007		complete	0	2016-09-30T17:37:39.129138
makeLocusGraph_chromId_001_2_0008		complete	0	2016-09-30T17:37:28.507302
makeLocusGraph_chromId_001_2_0009		complete	0	2016-09-30T17:37:44.261637
makeLocusGraph_chromId_001_2_0010		complete	0	2016-09-30T17:37:31.435847
makeLocusGraph_chromId_001_2_0011		complete	0	2016-09-30T17:37:40.114424
makeLocusGraph_chromId_001_2_0012		complete	0	2016-09-30T17:37:41.366309
makeLocusGraph_chromId_001_2_0013		complete	0	2016-09-30T17:37:36.797168
makeLocusGraph_chromId_001_2_0014		complete	0	2016-09-30T17:37:27.499579
makeLocusGraph_chromId_001_2_0015		complete	0	2016-09-30T17:37:47.815038
makeLocusGraph_chromId_001_2_0016		complete	0	2016-09-30T17:37:31.564948
makeLocusGraph_chromId_001_2_0017		complete	0	2016-09-30T17:37:44.546505
makeLocusGraph_chromId_001_2_0018		complete	0	2016-09-30T17:37:31.861061
makeLocusGraph_chromId_001_2_0019		complete	0	2016-09-30T17:37:45.123456
makeLocusGraph_chromId_001_2_0020		complete	0	2016-09-30T17:37:47.731686
makeLocusGraph_chromId_002_3_0000		complete	0	2016-09-30T17:37:36.700587
makeLocusGraph_chromId_002_3_0001		complete	0	2016-09-30T17:37:32.248516
makeLocusGraph_chromId_002_3_0002		complete	0	2016-09-30T17:37:46.104750
makeLocusGraph_chromId_002_3_0003		complete	0	2016-09-30T17:37:26.577585
makeLocusGraph_chromId_002_3_0004		complete	0	2016-09-30T17:37:46.997196
makeLocusGraph_chromId_002_3_0005		complete	0	2016-09-30T17:37:37.706066
makeLocusGraph_chromId_002_3_0006		complete	0	2016-09-30T17:37:28.067927
makeLocusGraph_chromId_002_3_0007		complete	0	2016-09-30T17:37:43.756246
makeLocusGraph_chromId_002_3_0008		complete	0	2016-09-30T17:37:46.515246
makeLocusGraph_chromId_002_3_0009		complete	0	2016-09-30T17:37:36.719071
makeLocusGraph_chromId_002_3_0010		complete	0	2016-09-30T17:37:31.068325
makeLocusGraph_chromId_002_3_0011		complete	0	2016-09-30T17:37:30.695830
makeLocusGraph_chromId_002_3_0012		complete	0	2016-09-30T17:37:45.570400
makeLocusGraph_chromId_002_3_0013		complete	0	2016-09-30T17:37:43.135834
makeLocusGraph_chromId_002_3_0014		complete	0	2016-09-30T17:37:31.007621
makeLocusGraph_chromId_002_3_0015		complete	0	2016-09-30T17:37:34.354022
makeLocusGraph_chromId_002_3_0016		complete	0	2016-09-30T17:37:47.127392
makeLocusGraph_chromId_003_4_0000		complete	0	2016-09-30T17:37:33.580373
makeLocusGraph_chromId_003_4_0001		complete	0	2016-09-30T17:37:31.533958
makeLocusGraph_chromId_003_4_0002		complete	0	2016-09-30T17:37:45.349995
makeLocusGraph_chromId_003_4_0003		complete	0	2016-09-30T17:37:38.070839
makeLocusGraph_chromId_003_4_0004		complete	0	2016-09-30T17:37:47.588783
